Company|Slogan
Northern Trust Corp.| You know your destination. You need a wise, caring advisor alongside you.
Anthem Inc.| Together, we are transforming health care with trusted and caring solutions
Martin Marietta Materials| It’s not just what we make. It’s what we make possible.
Edwards Lifesciences| Global Leader in the Science of Heart Valves and Hemodynamic Monitoring
Smucker (J.M.)| With a name like Smucker’s, it has to be good
Motorola Solutions Inc.| Helping customers be their best in the moments that matter
MetLife Inc.| It’s at times like this that Metlife sets itself apart.
Express Scripts| Serving the prescription needs of more than 50 million Americans.
Cummins Inc.| Making people’s lives better by unleashing the power of Cummins.
Ametek| A Leading Global Manufacturer of Electronic Instruments and Electromechanical Devices
Akamai Technologies Inc| In a faster forward world, innovation doesn’t wait for technology
United Parcel Service| We run the tightest ship in the shipping business.
Simon Property Group Inc| Self administered and self managed real estate investment trust
Pulte Homes Inc.| It’s our philosophy. It’s the way we do business
Kansas City Southern| The shortest route from Kansas City to salt water.
Expeditors Int’l| You’d be surprised how far we’ll go for you.
Electronic Arts| If it’s in the game. It’s in the game.
Western Union Co| The fastest way to send money – worldwide
Universal Health Services, Inc.| The Health Care you need. Close to Home.
United Rentals, Inc.| You’re building the future. We’re here to help.™
Transocean| Because 70% of Earth is covered by water
PPL Corp.| We’ll Be There When The Light Goes On
The Mosaic Company| Helping the World Grow the Food it Needs
Medtronic plc| Alleviating Pain • Restoring Health • Extending Life
Westrock Co| A world class packaging team, built for you
Mead Johnson| Makers of the fluoride-vitamin supplements doctors prescribe most.
Lockheed Martin Corp.| We Never Forget Who We Are Working For
HCA Holdings| It’s you, it’s me, it’s all of us
Harley-Davidson| Define your world in a whole new way.
Hanesbrands Inc| Look who we’ve got our Hanes on now
General Growth Properties Inc.| Fully integrated, self managed and self administered REIT
FMC Technologies Inc.| We keep you first. And keep you ahead.
FMC Corporation| We put you first. And keep you ahead.
Essex Property Trust Inc| Every Story is Unique. Every Home is Different.
Equity Residential| A place people are proud to call home
Ecolab Inc.| The Global Leader in Commercial and Sanitizing Solutions
Discovery Communications-C| Let’s All Discover, Why No Myth Is Safe
Discovery Communications-A| Let’s All Discover, Why No Myth Is Safe
Citigroup Inc.| Your Citi never sleeps and Where money lives
Chevron Corp.| Finding newer, cleaner ways to power the world.
Celgene Corp.| Committed to improving the lives of patients worldwide
Bard (C.R.) Inc.| Advancing Lives and the Delivery of Health Care
The Travelers Companies Inc.| Insurance for your auto, home and business
Tenet Healthcare Corp.| Passion, Commitment and Leadership in health care.
Robert Half International| Innovation and Excellence in consulting and staffing
Progressive Corp.| It’s about you, and it’s about time.
Occidental Petroleum| Develop energy resources safely, profitably and responsibly.
Nvidia Corporation| The Way It’s Meant to be Played
Nielsen Holdings| What People Watch, Listen To and Buy
Michael Kors Holdings| A chic, luxurious, sexy fragrance for women.
Leggett & Platt| Enhancing people’s lives for over 130 years.
Johnson & Johnson| Your Druggist is More Than a Merchant
Iron Mountain Incorporated| The Leader in Records & Information Management
Interpublic Group| A global leader in modern marketing solutions
Illinois Tool Works| When customers depend on us… We’re there.
Honeywell Int’l Inc.| If we say it, we’ll do it
Hasbro Inc.| Boy Oh Boy! It’s A Hasbro Toy!
Grainger (W.W.) Inc.| For the ones who get it done.
FedEx Corporation| Relax, it’s FedEx; The world on time
Facebook| Be Connected. Be Discovered. Be on Facebook.
Exxon Mobil Corp.| Taking on the world’s toughest energy challenges.
Estee Lauder Cos.| Bringing the best to everyone we touch.
Endo International| Serving for the health of the people
DTE Energy Co.| For all the energy you’ll ever need.
Dominion Resources| What we do everyday Powers you everyday
Darden Restaurants| To nourish and delight everyone we serve
ConAgra Foods Inc.| ConAgra. The right kind of food company
The Clorox Company| We make everyday life better, every day
BB&T Corporation| More than writing checks or making deposits…
Baxter International Inc.| Making a meaningful difference in patients’ lives
Bank of America Corp| Think what we can do for you
Baker Hughes Inc| Enabling safe, affordable energy, improving people’s lives
Analog Devices, Inc.| World leader in high performance signal processing.
Zoetis| For Animals, For Health. For You
Whole Foods Market| Whole Foods, Whole People, Whole Planet.
Urban Outfitters| Pay money to look like homeless
United Technologies| You can see everything from here
Tyco International| A vital part of your world
TripAdvisor| Plan and book your perfect trip
TJX Companies Inc.| Get the max for the minimum.
Thermo Fisher Scientific| The world leader in serving science
Southern Co.| Smart Energy. Smart Grid. Smart Choices.
Public Serv. Enterprise Inc.| We make things work for you
Prologis| The strategic partner for Global trade
PPG Industries| We protect and beautify the world
Pitney-Bowes| Powering the transactions that drive commerce.
PayPal| The safer way to pay online
Omnicom Group| The only we can. The media agencies.
Noble Energy Inc| Energizing the World, Bettering People’s Lives
Netflix Inc.| It just might bring everyone together
Microchip Technology| anything that revolves, anything that moves
Kinder Morgan| A different kind of energy company
International Paper| We Will Not Fail Our Customers!
Humana Inc.| Guidance when you need it most.
Host Hotels & Resorts| We bring the city to life
Goldman Sachs Group| Our client’s interests always come first.
General Electric| We bring good things to life.
Gap (The)| For every generation there’s a Gap.
FirstEnergy Corp| Our energy is working for you.
First Solar Inc| Lowering The Cost of Solar Electricity
Fifth Third Bancorp| The things we do for dreams.
Eversource Energy| Take only pictures, leave only footprints
EOG Resources| When you think energy, think EOG
eBay Inc.| Buy it, sell it, love it
Eastman Chemical| Where Chemistry and Innovation come together.
E*Trade| Get high rates without the risks.
Discover Financial Services| There’s always something more to Discover
Crown Castle International Corp.| Providing Wireless Infrastructure in Prime Locations
Cimarex Energy| Stronger for Good Time and Bad
Centene Corporation| Better health outcomes at lower costs
Carnival Corp.| Fun For All. All For Fun
Carmax Inc| The Way Car Buying Should Be
Henry Schein| We will help you get there
Campbell Soup| It’s Amazing What Soup Can Do!
Brown-Forman Corporation| We enrich the experience of life.
Becton Dickinson| Helping all people live healthy lives
The Bank of New York Mellon Corp.| The Investments Company for the World
Ball Corp| Products that reflect an innovation mindset.
American Water Works Company Inc| The Authoritative Resource on Safe Water
Amazon.com Inc| Work Hard. Have Fun. Make History.
Alliance Data Systems| All for Good. Good for All.
Adobe Systems Inc| A new experience in user experience.
Zions Bancorp| A collection of Great banks
Yum! Brands Inc| Alone we’re delicious…together we’re Yum!
Wisconsin Energy Corporation| Energy you can depend on
Weyerhaeuser Corp.| Growing a truly great company.
Western Digital| Designed to protect your data.
Waters Corporation| The science of what’s possible
The Walt Disney Company| I’m going to Disney World!
Vornado Realty Trust| Fully-integrated real estate investment trust
United Health Group Inc.| Helping People Live Healthier Lives.
U.S. Bancorp| All of US serving you.
UDR Inc| Opening Doors To The Future
The Hershey Company| The Sweetest Taste on Earth
Sysco Corp.| Good things come from Sysco
Symantec Corp.| Confidence in a connected world.
SunTrust Banks| Live Solid. Bank Solid. SunTrust.
State Street Corp.| Passionate about our client’s success.
Starwood Hotels & Resorts| Who’s taking care of you
Signet Jewelers| Every kiss begins with Kay
Sealed Air Corp.(New)| Our Products protect your Products
SanDisk Corporation| “NO action is too fast!”
Regions Financial Corp.| You can expect more stability.
Raytheon Co.| Customer Success is our mission
Range Resources Corp.| Drilling is just the beginning.
Quanta Services Inc.| Leadership in Performance and Safety
PVH Corp.| The Way Forward: Evolve Everyday
Principal Financial Group| We’ll Give You an Edge.
Citizens Financial Group| Good Banking Is Good Citizenship
Praxair Inc.| MAKING OUR PLANET MORE PRODUCTIVE
Pinnacle West Capital| The choice for digital video.
Patterson Companies| Building Connections For Healthier Communities
Oracle Corp.| Oracle is THE information company
NiSource Inc.| Premier Safety, Reliability and Service.
Newfield Exploration Co| Balance of Exploration and Acquisitions
Monsanto Co.| Growth for a Better World.
Mohawk Industries| It’s more than a floor.
Merck & Co.| Committed to making a difference.
McCormick & Co.| McCormick Brings Passion to Flavor™
LyondellBasell| Fuelling the power to within
Kraft Heinz Co| A little taste of heaven.
Kimberly-Clark| It feels good to feel.
Juniper Networks| The New Network Is Here
JPMorgan Chase & Co.| The right relationship is everything
Jacobs Engineering Group| People are our greatest asset
Invesco Ltd.| Explore intentional investing with Invesco
International Bus. Machines| Let’s build a smarter planet
Huntington Bancshares| A bank invested in people.
Frontier Communications| “Welcome to the New Frontier.”
Ford Motor| Built for the road ahead.
Fluor Corp.| How the world is built.
Edison Int’l| Leading the way in electricity.
Duke Energy| Powering and empowering our communities
Dr Pepper Snapple Group| We do things with flavor
Dollar General| Save Time, Save Money, Everyday.
Deere & Co.| Nothing runs like a Deere.
Coca-Cola Enterprises| Things go better with Coke.
The Coca Cola Company| Things go better with Coke.
Cisco Systems| Welcome To The Human Network
Chesapeake Energy| Natural Gas Wins the Day
Caterpillar Inc.| Earthmoving solutions for today’s challenges.
Cablevision Systems Corp.| Reach Out and Touch Someone.
Bristol-Myers Squibb| extending and enhancing human life
BlackRock| Opportunity favors the prepared mind
Berkshire Hathaway| The Customer Is Always Right!
AutoNation Inc| Driven to be the best
Apartment Investment & Mgmt| America Comes Home to Aimco
Anadarko Petroleum Corp| Bringing Excellence to the Surface.
AmerisourceBergen Corp| Because It’s All Right Here.
American Tower Corp A| Where you want to be.
American Express Co| Don’t Leave Home Without It
Altria Group Inc| We’re A Company Moving Forward
Allegion| Pioneering safety around the world.
Alexion Pharmaceuticals| Transforming patients’ lives through innovation.
Alcoa Inc| Inventing the future since 1888
Airgas Inc| You’ll find it with us.
Agilent Technologies Inc| The world’s premier measurement company.
Affiliated Managers Group Inc| A global asset under management
AFLAC Inc| Ask about it at work.
Aetna Inc| We want you to know.
AES Corp| The Power of being Global
Zimmer Biomet Holdings| Personal fit. Renewed life
XL Capital| Make Your World Go
Xerox Corp.| Work can work better
Williams Cos.| We make energy happen.
Whirlpool Corp.| Work Globally, Act Locally
